protein_id,kd,scoreSB_CB,scoreMDS_CB,scoreMDW_CB,scoreKP_CB,scoreRRP_CB,scoreMNJ_Etot_CB,scoreMNJ_Elj_CB,scoreMNJ_Ee_CB,scoreMNJ_Ehb_CB,scoreEE_CB,scoreEC_CB,scoreSB_CA,scoreMDS_CA,scoreMDW_CA,scoreKP_CA,scoreRRP_CA,scoreMNJ_Etot_CA,scoreMNJ_Elj_CA,scoreMNJ_Ee_CA,scoreMNJ_Ehb_CA,scoreEE_CA,scoreEC_CA,scoreSB_BB_NB_CB,scoreMDS_BB_NB_CB,scoreMDW_BB_NB_CB,scoreKP_BB_NB_CB,scoreRRP_BB_NB_CB,scoreMNJ_BB_NB_Etot_CB,scoreMNJ_BB_NB_Elj_CB,scoreMNJ_BB_NB_Ee_CB,scoreMNJ_BB_NB_Ehb_CB,scoreEE_BB_NB_CB,scoreEC_BB_NB_CB,scoreSB_BB_Bt_CA,scoreSB_BB_B_CA,scoreSB_BB_NB_CA,scoreMDS_BB_NB_CA,scoreMDW_BB_NB_CA,scoreKP_BB_NB_CA,scoreRRP_BB_B_CA,scoreRRP_BB_NB_CA,scoreMNJ_BB_NB_Etot_CA,scoreMNJ_BB_NB_Elj_CA,scoreMNJ_BB_NB_Ee_CA,scoreMNJ_BB_NB_Ehb_CA,scoreEE_BB_NB_CA,scoreEC_BB_NB_CA
best_model_1007,6.32125400899479,2.43,-3.64,2.84,-0.62,-46.08,-1181.93,-1176.76,-2.52,-2.65,11.22,-0.46,0.4,-6.41,-0.79,-1.34,-5.46,-53.52,-51.14,-1.93,-0.44,2.8,-2.48,13.35,14.67,13.94,17.26,-4.9,-5.29,-5.06,-0.05,-0.18,4.36,30.58,-4,-11,7.11,8.67,7.82,0.46,-0.63,2,1.15,1.2,0.01,-0.07,3.42,25.36
best_model_1008,6.3603646573416,2.84,3.98,5.57,-0.16,-36.75,-219.59,-218.83,-0.13,-0.64,16.6,1.64,1,0.22,1.19,-0.42,-5.92,-31.55,-31.52,0.09,-0.13,8.62,-0.38,13.36,14.78,13.96,15.2,-4.72,-3.94,-3.71,-0.05,-0.19,4.26,29.93,-4,-11,6.73,8.23,7.43,-1.38,-0.7,1.99,1.17,1.25,0,-0.07,3.45,25.17
best_model_1009,6.79195027006596,4.42,-2.26,3.25,0.2,-65.84,-452,-450.97,0.09,-1.13,20.16,5.12,2.39,-2.55,-0.91,-0.14,-10.64,-33.72,-33.82,0.28,-0.18,11.28,3.74,13.66,15.05,14.23,13.76,-4.63,-0.71,-0.49,-0.04,-0.18,4.22,29.92,-4,-11,6.94,8.41,7.63,0.08,-0.62,2.02,1.27,1.33,0.01,-0.07,3.43,25.27
best_model_101,8.64625949662618,4.1,34.13,7.38,2.62,-2.02,-9.79,-14.64,5.2,-0.35,7.4,0.88,-0.78,3.48,-2.89,-0.84,3.26,-1.45,-1.41,0,-0.04,2.98,0.82,8.34,9.03,8.69,25.02,-3.01,-2.76,-2.79,0.19,-0.16,4.49,29.69,0,2,3.73,4.02,4.13,5.92,-1.13,2.16,-1.63,-1.5,-0.04,-0.09,3.62,23.98
best_model_1010,13.6551167787896,2.69,1.34,5.82,1.06,-64.96,-1659.86,-1658.9,2.35,-3.31,14.96,4.36,2.26,3.54,5.72,1.08,-3.61,-73.76,-75.29,2.13,-0.59,6.18,2.06,13.72,15.1,14.31,12.58,-4.8,1.14,1.36,-0.04,-0.18,4.28,30.52,-4,-11,7.14,8.5,7.75,0.72,-0.58,2,1.25,1.33,-0.02,-0.07,3.42,25.2
best_model_1011,8.07789942716791,1.17,-1.71,2.59,-2.24,-43.4,96.43,96.43,-0.13,0.12,17.46,9.28,-0.15,-3.77,0.07,-2.32,-4.16,9.71,9.34,0.09,0.28,9.5,6.46,13.25,14.65,13.8,11.86,-5.06,1.22,1.44,-0.04,-0.19,4.31,30.46,-4,-11,6.74,8.27,7.46,-0.4,-0.58,1.98,1.27,1.35,0,-0.07,3.41,25.25
best_model_1012,8.20264193365093,2.62,-6.18,-0.14,-2.08,-68.34,-61.66,-61.59,-0.12,0.05,21.8,12.88,0.82,-7.09,-2.73,-1.94,-7.31,-2.76,-3.07,0.09,0.22,11.5,7.94,13.89,15.27,14.48,10.08,-4.49,-1.05,-0.84,-0.04,-0.18,4.29,30.4,-4,-11,6.76,8.21,7.41,-0.38,-0.61,2,1.37,1.45,-0.02,-0.07,3.45,25.37
best_model_1013,6.87818667579679,1.27,-7.11,-0.25,-1.7,-30.39,-108.76,-108.16,-0.12,-0.47,17.72,4.92,-0.73,-7.99,-2.47,-1.54,-19.24,-0.48,-0.65,0.1,0.07,7.88,0.98,13.85,15.25,14.44,14.02,-5.27,-8.73,-8.49,-0.05,-0.19,4.27,30.08,-4,-11,6.77,8.32,7.52,0.06,-0.58,1.99,1.12,1.2,0,-0.07,3.45,25.39
best_model_1014,14.6356349422386,9.86,22.34,2.57,8.16,-9.48,-38.23,-39.09,1.72,-0.86,7.7,-2.52,0.74,-1.69,-4.23,0.98,2.19,0,-0.05,0.1,-0.06,4.04,-1.26,24.98,28.52,26.12,-33.82,-5.66,-12.87,-13.06,0.53,-0.34,10.18,57.75,-13,11,13.43,16.29,15.03,-98.42,-5.18,3.99,-5.09,-5.2,0.33,-0.22,7.06,40.94
best_model_1015,15.0782049383857,9.42,22.13,2.23,7.88,-5.91,-45.25,-46.09,1.74,-0.9,6.26,-2.78,0.74,-1.69,-4.23,0.98,2.26,0.04,-0.01,0.1,-0.05,4.04,-1.26,25.36,28.86,26.46,-34.12,-6.41,-24.2,-24.36,0.54,-0.37,10.11,57.49,-9,11,13.09,15.96,14.69,-96.5,-4.83,4,-5.64,-5.76,0.34,-0.22,7.09,40.99
best_model_1016,15.2119290997505,7.84,12.4,-1.68,6.82,-8.03,-47.72,-46.96,0.15,-0.91,5.68,-3.8,0.74,-1.69,-4.23,0.98,2.23,-0.03,-0.07,0.1,-0.06,4.04,-1.26,24.72,28.2,25.89,-33.92,-6.67,-20.58,-20.75,0.53,-0.36,10.15,57.3,-15,10,13.12,16.02,14.72,-100.06,-5.03,3.81,-6.63,-6.74,0.33,-0.22,7.12,41.11
best_model_1017,15.5348027576693,4.86,0.61,-5.57,4.32,-12.29,-97.57,-96.67,0.29,-1.18,5.44,-5.12,0.74,-1.69,-4.23,0.98,2.27,-0.07,-0.11,0.1,-0.06,4.04,-1.26,26.23,29.61,27.34,-40.7,-6.22,-15.17,-15.32,0.51,-0.35,10.1,56.54,-9,11,13.36,16.3,14.93,-96.54,-4.82,3.95,-6.33,-6.44,0.33,-0.22,7.1,40.97
best_model_1018,13.0153835012778,8.78,19.93,2.95,7.08,-7.25,-82.66,-83.32,1.75,-1.08,5.58,-2.88,0.74,-1.69,-4.23,0.98,2.43,-0.03,-0.07,0.1,-0.06,4.04,-1.26,24.23,27.83,25.41,-31.54,-5.99,-21.98,-22.15,0.52,-0.35,9.99,56.62,-9,11,13.25,16.14,14.9,-100.9,-4.66,3.8,-6.65,-6.74,0.32,-0.22,7.08,40.73
best_model_1019,12.8515562189759,8.04,10.02,1.51,7.64,-4.96,2.31,0.82,1.73,-0.24,6.78,-2.34,0.14,-1.85,-3.37,1.06,2.64,0.31,0.23,0.1,-0.02,3.82,-0.3,24.83,28.24,25.98,-35.58,-5.86,-17.67,-17.84,0.51,-0.34,10.12,56.84,-11,12,13.28,16.13,14.87,-97.8,-4.79,3.79,-7.01,-7.1,0.31,-0.22,7.14,41.24
best_model_1020,14.7932144010703,5.04,5.02,-5.38,6.2,-11.59,-53.06,-50.65,-1.47,-0.94,3.56,-6.84,0.2,-2.57,-3.86,0.92,2.49,0,-0.04,0.1,-0.06,3,-2.78,24.98,28.57,26.1,-29.04,-6.14,-20.29,-20.52,0.57,-0.35,9.98,56.23,-9,11,12.73,15.58,14.38,-97.82,-4.82,3.8,-6.47,-6.57,0.32,-0.22,7.07,40.73
best_model_1021,9.14102036644308,3.42,36.43,6.49,4.32,-13.24,-76.14,-82.81,7.17,-0.5,4.92,-7.08,-3.08,-0.12,-2.13,-0.92,2.97,-1.94,-2.1,0.19,-0.03,2.52,1.08,24.52,27.68,25.51,-21.62,-6.62,-33.79,-33.83,0.47,-0.43,10.5,57.56,-17,12,12,14.49,13.47,-99.64,-4.46,4.27,-8.6,-8.49,0.13,-0.24,7.44,41.51
best_model_1022,10.8219587124734,6.72,41.25,6.17,6.7,-11.39,-71.8,-78.5,7.27,-0.56,8.86,-2.16,-2.18,2.11,-2.83,-0.06,2.58,-1.99,-2.15,0.19,-0.04,2.92,1.2,25.22,28.28,26.01,-17.76,-6.06,-28.71,-28.77,0.48,-0.42,10.7,58.74,-22,14,11.83,14.3,13.31,-95.98,-4.37,4.16,-7.36,-7.28,0.15,-0.24,7.48,41.74
best_model_1023,11.5829395010426,2.16,39.75,10.58,3.88,-19.46,-83.56,-88.57,5.54,-0.53,2.54,-8.96,-2.72,1.23,-2.46,-0.12,2.66,-2.06,-2.21,0.19,-0.04,1.88,-0.32,23.86,27.02,24.7,-18.22,-6.85,-19.28,-19.39,0.51,-0.4,10.35,56.81,-21,13,12.19,14.67,13.66,-96.56,-4.18,4.23,-7.83,-7.74,0.14,-0.24,7.44,41.49
best_model_1024,12.6754966844087,3.14,33.69,2.09,4.08,-12.92,-78.59,-83.57,5.53,-0.54,6.42,-5.7,-2.18,2.11,-2.83,-0.06,2.7,-1.9,-2.06,0.19,-0.04,2.92,1.2,23.45,26.66,24.36,-19.64,-6.85,-60.75,-60.79,0.48,-0.44,10.49,58.09,-17,12,12.02,14.38,13.39,-97.98,-4.2,4.21,-8.31,-8.21,0.14,-0.24,7.37,41.18
best_model_1025,11.9186711068756,-0.9,24.34,0.04,1.72,-13.31,-65.95,-71.05,5.56,-0.46,7.18,-6,-2.18,2.11,-2.83,-0.06,2.91,-1.87,-2.02,0.19,-0.04,2.92,1.2,24.43,27.7,25.39,-24.14,-6.14,-23.12,-23.26,0.54,-0.4,10.46,57.32,-17,10,12.49,15.01,14,-95.6,-4.23,4.23,-7.44,-7.39,0.18,-0.24,7.52,41.71
best_model_1026,12.7424314129485,2.06,36.54,5.84,4.36,-9.2,-79.89,-84.98,5.59,-0.5,6.44,-5.92,-2.18,2.11,-2.83,-0.06,3.18,-1.85,-2.01,0.19,-0.04,2.92,1.2,23.52,26.53,24.38,-17.18,-6.86,-48.26,-48.28,0.46,-0.43,10.52,58.15,-18,12,12.18,14.64,13.65,-97.38,-4.26,4.25,-7.54,-7.41,0.1,-0.23,7.45,41.65
best_model_1027,13.116822863493,3.84,34.1,2.43,4.3,-13.11,-76.25,-81.24,5.52,-0.52,8.2,-4.44,-2.18,2.11,-2.83,-0.06,2.77,-1.91,-2.06,0.19,-0.04,2.92,1.2,23.95,27.19,24.83,-18.76,-6.23,-26,-26.09,0.49,-0.4,10.49,57.54,-16,12,11.96,14.36,13.37,-101.16,-4.18,4.29,-7.58,-7.47,0.12,-0.24,7.38,40.85
best_model_1028,15.2119290997505,9.74,22.94,3.96,7.7,-8.77,-47.52,-48.4,1.77,-0.89,5,-3.08,0.74,-1.69,-4.23,0.98,2.15,-0.04,-0.09,0.1,-0.05,4.04,-1.26,25.36,28.9,26.47,-32.18,-5.77,-16.36,-16.6,0.57,-0.34,10.07,56.93,-9,11,13.43,16.19,14.96,-98.28,-4.65,3.88,-6.93,-7.03,0.32,-0.22,7.04,40.65
best_model_1029,13.9560925410822,5.1,-2.95,-8.7,4.94,-8.8,-48.04,-47.43,0.3,-0.9,6.02,-4.26,0.74,-1.69,-4.23,0.98,2.22,0,-0.04,0.1,-0.06,4.04,-1.26,25.68,29.18,26.88,-30.92,-5.74,-16.91,-17.11,0.54,-0.35,10.2,57.2,-9,11,13.07,15.93,14.79,-99.8,-4.73,3.91,-5.59,-5.73,0.36,-0.22,7.18,41.16
best_model_103,9.25403951462532,2.9,35.92,10.74,2.62,-3.91,-28.99,-33.67,5.18,-0.5,5.12,-0.3,-1.92,0.84,-2.32,-1.36,2.73,-3.43,-3.36,0,-0.08,1.2,-1.84,9.51,10.34,10.01,22.82,-2.13,-5.24,-5.29,0.2,-0.15,4.45,29.75,8,4,4.06,4.36,4.49,4.5,-1.06,2.14,-1.35,-1.18,-0.07,-0.09,3.48,23.44
best_model_1030,15.4290180930328,7.9,11.3,-2.49,6.7,-8.11,-44.99,-44.25,0.16,-0.89,5.46,-3.5,0.74,-1.69,-4.23,0.98,2.18,0.02,-0.03,0.1,-0.05,4.04,-1.26,24.97,28.37,26.04,-30.26,-5.37,-11.35,-11.51,0.5,-0.34,10.14,56.81,-9,11,13.02,15.74,14.61,-99.16,-4.87,4.08,-5.54,-5.61,0.28,-0.22,7.12,40.84
best_model_1031,14.7668902057527,8.08,11.49,-2.16,6.92,-9.08,-50.65,-49.83,0.11,-0.93,7.18,-3.26,0.74,-1.69,-4.23,0.98,2.18,0.01,-0.04,0.1,-0.06,4.04,-1.26,24.79,28.12,25.77,-31.5,-5.46,-13.35,-13.5,0.5,-0.35,10.18,56.85,-7,11,12.88,15.66,14.45,-96.24,-4.89,4.08,-5.32,-5.42,0.32,-0.22,7.02,40.17
best_model_1032,12.6175151852231,2.98,35.6,3.17,4.28,-11.26,-72.41,-77.43,5.55,-0.53,7.52,-5.32,-2.18,2.11,-2.83,-0.06,2.69,-1.88,-2.04,0.19,-0.04,2.92,1.2,24.37,27.51,25.25,-23.92,-6.74,-30.2,-30.25,0.46,-0.41,10.61,58.44,-11,12,12.12,14.66,13.59,-100.04,-4.18,4.23,-7.3,-7.17,0.11,-0.23,7.51,41.82
best_model_1033,12.3849844703484,3.14,39.2,5.65,4.18,-9.05,-66.21,-71.12,5.41,-0.5,6.76,-5.84,-2.18,2.11,-2.83,-0.06,2.45,-1.83,-1.98,0.19,-0.04,2.92,1.2,24.22,27.56,25.2,-18.64,-7.1,-31.75,-31.84,0.51,-0.41,10.5,57.86,-16,10,12.5,15.06,13.98,-93.28,-4.62,4.18,-7.68,-7.6,0.15,-0.24,7.49,41.47
best_model_1034,11.7426115723085,3.26,41.08,7.51,3.88,-17.61,-102.85,-107.99,5.61,-0.47,8.44,-4.16,-1.9,7.58,1.52,-0.46,1.83,-2.25,-2.41,0.19,-0.03,3.84,2.36,24.61,27.82,25.49,-20.1,-6.37,-37.84,-37.91,0.49,-0.43,10.55,58.36,-17,10,12.4,14.86,13.86,-100.54,-4.12,4.28,-7.8,-7.67,0.11,-0.24,7.42,41.5
best_model_1035,12.3957064037354,2.98,35.6,3.17,4.28,-14.91,-75.52,-80.59,5.62,-0.54,7.52,-5.32,-2.18,2.11,-2.83,-0.06,2.73,-1.92,-2.08,0.19,-0.04,2.92,1.2,25.06,28.23,25.98,-20.62,-7.01,-49.93,-50,0.51,-0.44,10.62,58.54,-17,10,12.12,14.5,13.53,-99.28,-4.53,4.21,-8.19,-8.07,0.12,-0.24,7.56,41.87
best_model_1036,12.7672505244726,4.86,40.18,5.39,5.22,-11.77,-64.33,-70.96,7.16,-0.53,7.8,-3.3,-2.18,2.11,-2.83,-0.06,2.68,-1.9,-2.06,0.19,-0.04,2.92,1.2,25.02,28.28,25.79,-12.52,-6.79,-45.45,-45.49,0.48,-0.44,10.63,58.35,-17,10,12.22,14.6,13.57,-92.38,-4.26,4.22,-7.69,-7.58,0.12,-0.24,7.44,41.62
best_model_1037,12.6359952609585,1.2,24.75,-1.57,3.04,-11.21,-65.93,-69.3,3.91,-0.53,7,-6.06,-2.18,2.11,-2.83,-0.06,2.47,-1.94,-2.09,0.19,-0.04,2.92,1.2,24.68,27.97,25.67,-19.68,-6.37,-25.37,-25.45,0.47,-0.39,10.49,57.39,-17,10,12.14,14.66,13.6,-95.04,-4.41,4.3,-8.03,-7.93,0.14,-0.24,7.4,41.15
best_model_1038,12.3957064037354,0.36,26.03,-0.83,2.44,-14.9,-77.19,-80.6,3.95,-0.54,7.3,-5.68,-2.18,2.11,-2.83,-0.06,2.75,-1.98,-2.14,0.19,-0.04,2.92,1.2,25.8,29.08,26.74,-19.78,-6.88,-26.49,-26.57,0.49,-0.41,10.64,58.26,-17,10,12.51,14.98,13.93,-98.88,-4.3,4.26,-7.57,-7.46,0.12,-0.23,7.48,42.02
best_model_1039,12.2196468691683,2.5,37.64,4.49,4.16,-12.01,-83.93,-88.91,5.5,-0.52,7.6,-4.84,-2.18,2.11,-2.83,-0.06,2.73,-1.97,-2.12,0.19,-0.04,2.92,1.2,25.1,28.1,25.89,-24.4,-7.6,-75.76,-75.73,0.44,-0.47,10.6,57.84,-19,10,11.99,14.34,13.38,-97,-4.48,4.22,-7.55,-7.44,0.12,-0.24,7.55,41.77
best_model_104,8.83109137479627,4,36.87,17.8,3.34,-4.34,-19.48,-25.73,6.69,-0.44,6.82,1.46,-1.92,0.84,-2.32,-1.36,2.78,-3.31,-3.23,0,-0.07,1.2,-1.84,8.92,9.78,9.4,26.72,-2.44,-8.05,-8.1,0.21,-0.16,4.41,29.69,5,4,3.84,4.33,4.4,4.44,-1.17,2.1,-1.38,-1.26,-0.03,-0.09,3.48,23.4
best_model_1040,12.1404798883633,2.98,35.6,3.17,4.28,-13.84,-77,-81.91,5.46,-0.54,7.52,-5.32,-2.18,2.11,-2.83,-0.06,2.79,-1.94,-2.1,0.19,-0.04,2.92,1.2,25.07,28.38,25.96,-11.9,-6.18,-25.12,-25.25,0.51,-0.39,10.5,57.89,-20,13,12.97,15.53,14.47,-93.62,-4.15,4.37,-8.01,-7.93,0.16,-0.24,7.48,41.55
best_model_1041,12.4066998071155,2.88,34.64,3.63,4.34,-9.95,-75.04,-80.06,5.52,-0.5,6.86,-7.38,-2.18,2.11,-2.83,-0.06,2.59,-1.91,-2.06,0.19,-0.04,2.92,1.2,25.82,28.73,26.61,-19.5,-6.31,-42.09,-42.13,0.47,-0.43,10.66,58.44,-20,12,11.81,14.17,13.2,-96,-4.25,4.2,-7.41,-7.31,0.14,-0.24,7.52,41.67
best_model_1042,15.1399394102834,9.68,22.15,2.25,7.94,-7.94,-51.32,-52.06,1.7,-0.96,5.98,-2.76,0.74,-1.69,-4.23,0.98,2.22,0,-0.05,0.1,-0.06,4.04,-1.26,24.66,28.18,25.73,-30.28,-6.78,-23.37,-23.56,0.55,-0.36,9.93,56.57,-14,9,13.26,16.02,14.82,-100.82,-4.89,3.73,-7.47,-7.56,0.32,-0.22,7.09,41.11
best_model_1043,15.0887961034417,5.9,0.96,-4.97,5.62,-8.98,-42.41,-41.7,0.19,-0.9,5.58,-4.2,0.74,-1.69,-4.23,0.98,2.24,0.1,0.06,0.1,-0.06,4.04,-1.26,25.36,28.79,26.55,-40.58,-6.92,-26.09,-26.23,0.51,-0.37,10.1,57.01,-10,13,13.05,15.99,14.75,-106.96,-4.93,3.7,-6.76,-6.85,0.32,-0.22,7,40.82
best_model_1044,15.1910827171251,8.34,16.04,-0.14,6.76,-6.4,-47.64,-47.01,0.26,-0.9,7.08,-1.72,1,2.86,-2.21,0.82,1.79,-0.19,-0.24,0.1,-0.06,3.94,0.28,25.56,29.16,26.77,-29.8,-6.37,-14.37,-14.53,0.51,-0.35,9.99,56.62,-8,13,13.13,16.04,14.78,-97.76,-4.84,3.76,-6.04,-6.14,0.32,-0.22,7.06,40.34
best_model_1045,14.4063394883956,11.82,41.53,12.49,8.9,-5.16,-76.1,-80.07,4.9,-0.93,6.72,1.4,1,2.86,-2.21,0.82,2.09,-0.94,-0.99,0.1,-0.05,3.94,0.28,25.07,28.74,26.36,-36.02,-5.98,-13.33,-13.51,0.53,-0.35,10,56.77,-10,13,12.95,15.95,14.61,-97.02,-4.81,3.98,-5.41,-5.53,0.34,-0.22,7.1,40.94
best_model_1046,15.1910827171251,9.24,21.77,2.69,7.52,-8.61,-56.93,-57.67,1.74,-1,5.76,-3.3,0.1,-1.77,-3.38,0.44,2.32,-0.04,-0.08,0.1,-0.06,4.18,-1.6,24.46,27.98,25.56,-33.08,-6.16,-16.65,-16.83,0.54,-0.36,10.1,56.93,-9,11,13.23,16,14.81,-98.72,-4.86,4.09,-5.95,-6.05,0.32,-0.22,7.17,41.26
best_model_1047,15.2338269953766,8.98,23.91,2.59,6.84,-8.14,-45.19,-45.96,1.69,-0.91,5.84,-1.62,0.04,0.07,-3.89,-0.12,2.26,0.1,0.05,0.1,-0.05,3.9,-0.12,24.65,28.09,25.69,-28.18,-6.31,-21.4,-21.56,0.52,-0.36,10.12,57.03,-9,13,13.47,16.31,15.05,-96,-4.66,3.99,-5.17,-5.29,0.34,-0.22,7.1,40.86
best_model_1048,14.1649386811674,9.54,30.2,7.1,6.5,-7.84,-47.9,-48.76,1.73,-0.88,3.8,-2.5,1.26,0.87,-2.41,0.9,1.97,0.01,-0.05,0.1,-0.05,3.66,-1.52,24.33,27.88,25.45,-25.94,-6.16,-13.4,-13.6,0.54,-0.34,10.09,57.15,-11,13,13.3,16.17,14.95,-97.96,-5.06,3.89,-5.02,-5.12,0.32,-0.22,7.05,40.53
best_model_1049,15.4920584794177,9.68,22.15,2.25,7.94,-10.54,-75.3,-75.91,1.71,-1.09,5.98,-2.76,0.74,-1.69,-4.23,0.98,2.24,-0.04,-0.08,0.1,-0.06,4.04,-1.26,24.55,28.08,25.7,-33.72,-6.36,-22.05,-22.22,0.52,-0.35,10.12,57.45,-9,11,13.12,16.06,14.76,-99.54,-4.87,3.7,-6.83,-6.94,0.33,-0.22,7.12,41.03
best_model_105,10.0537057322841,2.18,15.45,4.77,0.74,-57.52,48.43,48.99,0.26,-0.81,7.46,0.78,1.6,3.75,-2.4,0.24,8.3,-0.28,-0.35,0.28,-0.22,2.94,-1.3,5.63,5.99,5.75,17.1,-2.04,-17.02,-17.01,0.12,-0.13,2.54,15.84,-10,-2,1.53,1.48,1.71,-6.88,-2.48,1.13,-2.21,-2.17,0.01,-0.06,1.51,10.28
